Call Date,Agent ID,Agent Status,Call Type,Service,Answer Time,Avg Talk Time,Disconnect Code,Call Disconnect,Survey Opted,Resolved,Call Fwd,Fwd Sup ID,Feedback
2026-02-22T00:08:11Z,1010,4,4,1,59,1539,5,2026-02-22T00:34:49Z,Yes,No,No,,5
2026-02-22T00:11:13Z,1002,2,5,4,57,2300,1,2026-02-22T00:50:30Z,Yes,Yes,No,,3
2026-02-22T00:13:45Z,1003,3,5,10,26,2137,5,2026-02-22T00:49:48Z,Yes,Yes,No,,4
2026-02-22T00:19:05Z,1008,9,5,4,45,454,57,2026-02-22T00:27:24Z,No,No,No,,
2026-02-22T00:23:08Z,1010,1,4,2,44,555,1,2026-02-22T00:33:07Z,Yes,No,No,,4
2026-02-22T00:24:13Z,1008,2,4,2,40,1749,5,2026-02-22T00:54:02Z,Yes,No,No,,3
2026-02-22T00:25:44Z,1010,0,4,1,48,1676,57,2026-02-22T00:54:28Z,No,No,Yes,2003,
2026-02-22T00:26:45Z,1006,1,5,1,29,424,5,2026-02-22T00:34:18Z,No,Yes,No,,
2026-02-22T00:33:13Z,1004,0,1,3,51,306,1,2026-02-22T00:39:10Z,No,No,Yes,2003,
2026-02-22T00:37:01Z,1014,1,1,10,27,2135,57,2026-02-22T01:13:03Z,Yes,No,No,,5
2026-02-22T00:45:00Z,1009,10,4,3,23,423,57,2026-02-22T00:52:26Z,No,No,No,,
2026-02-22T00:51:12Z,1012,13,1,5,55,1824,5,2026-02-22T01:22:31Z,No,Yes,No,,
2026-02-22T00:53:56Z,1002,0,2,10,32,313,1,2026-02-22T00:59:41Z,No,Yes,Yes,2002,
2026-02-22T01:15:50Z,1013,4,1,3,42,2288,1,2026-02-22T01:54:40Z,Yes,No,No,,1
2026-02-22T01:26:06Z,1003,2,4,5,33,539,57,2026-02-22T01:35:38Z,Yes,No,No,,1
2026-02-22T01:31:48Z,1005,3,4,3,42,1396,57,2026-02-22T01:55:46Z,Yes,No,No,,4
2026-02-22T01:41:26Z,1001,2,1,1,50,1491,5,2026-02-22T02:07:07Z,Yes,No,No,,2
2026-02-22T01:43:50Z,1010,1,4,1,24,552,1,2026-02-22T01:53:26Z,No,No,No,,
2026-02-22T01:48:43Z,1008,10,5,3,59,535,1,2026-02-22T01:58:37Z,No,Yes,No,,
2026-02-22T01:54:58Z,1012,2,5,4,26,937,1,2026-02-22T02:11:01Z,No,Yes,No,,
2026-02-22T02:01:45Z,1006,4,4,3,33,2162,5,2026-02-22T02:38:20Z,Yes,No,No,,1
2026-02-22T02:02:52Z,1003,0,1,5,31,2340,1,2026-02-22T02:42:23Z,Yes,Yes,Yes,2005,4
2026-02-22T02:15:22Z,1012,3,2,2,23,911,5,2026-02-22T02:30:56Z,Yes,No,No,,4
2026-02-22T02:17:06Z,1012,9,1,5,36,535,5,2026-02-22T02:26:37Z,Yes,No,No,,1
2026-02-22T02:18:28Z,1002,10,5,2,32,571,57,2026-02-22T02:28:31Z,Yes,Yes,No,,3
2026-02-22T02:19:30Z,1007,0,4,10,52,347,5,2026-02-22T02:26:09Z,No,Yes,Yes,2001,
2026-02-22T02:25:31Z,1001,3,4,5,58,1095,5,2026-02-22T02:44:44Z,Yes,Yes,No,,2
2026-02-22T02:32:30Z,1014,0,5,10,21,1873,57,2026-02-22T03:04:04Z,Yes,No,Yes,2005,2
2026-02-22T02:39:22Z,1005,9,4,1,44,423,1,2026-02-22T02:47:09Z,Yes,No,No,,5
2026-02-22T02:40:28Z,1008,13,5,1,53,477,57,2026-02-22T02:49:18Z,Yes,Yes,No,,4
2026-02-22T02:43:14Z,1003,2,2,10,20,1383,5,2026-02-22T03:06:37Z,Yes,Yes,No,,3
2026-02-22T02:48:19Z,1009,3,2,2,40,530,57,2026-02-22T02:57:49Z,No,No,No,,
